40 # number of electrodes
# x z
   0    0 
   1    0 
   2    0 
   3    0 
   4    0 
   5    0 
   6    0 
   7    0 
   8    0 
   9    0 
  10    0 
  11    0 
  12    0 
  13    0 
  14    0 
  15    0 
  16    0 
  17    0 
  18    0 
  19    0 
  20    0 
  21    0 
  22    0 
  23    0 
  24    0 
  25    0 
  26    0 
  27    0 
  28    0 
  29    0 
  30    0 
  31    0 
  32    0 
  33    0 
  34    0 
  35    0 
  36    0 
  37    0 
  38    0 
  39    0 
359  # number of data
#a  b  m  n  u  i 
  0     3     1     2     62.18     1.00  
  1     4     2     3     94.57     1.69  
  2     5     3     4     84.30     1.68  
  3     6     4     5     55.76     1.46  
  4     7     5     6     178.80    2.22  
  5     8     6     7     40.84     1.17  
  6     9     7     8     122.38    1.81  
  7     10    8     9     22.62     0.64  
  8     11    9     10    31.38     0.60  
  9     12    10    11    130.82    1.41  
  10    13    11    12    44.89     0.54  
  11    14    12    13    58.23     0.54  
  12    15    13    14    52.89     0.61  
  13    16    14    15    64.59     0.69  
  14    17    15    16    54.86     0.81  
  15    18    16    17    49.89     0.56  
  16    19    17    18    42.26     0.62  
  17    20    18    19    52.74     0.86  
  18    21    19    20    60.19     1.19  
  19    22    20    21    94.95     1.24  
  20    23    21    22    42.84     0.98  
  21    24    22    23    223.12    3.28  
  22    25    23    24    176.75    5.12  
  23    26    24    25    69.20     1.12  
  24    27    25    26    41.28     2.79  
  25    28    26    27    150.92    3.80  
  26    29    27    28    26.70     0.88  
  27    30    28    29    86.90     1.44  
  28    31    29    30    62.61     2.71  
  29    32    30    31    44.86     1.11  
  30    33    31    32    50.99     3.20  
  31    34    32    33    43.59     2.55  
  32    35    33    34    35.96     2.16  
  33    36    34    35    35.87     2.08  
  34    37    35    36    40.00     1.45  
  35    38    36    37    76.39     3.38  
  36    39    37    38    196.88    5.70  
  0     5     2     3     36.35     3.08  
  1     6     3     4     42.59     3.82  
  2     7     4     5     53.45     4.96  
  3     8     5     6     25.62     3.13  
  4     9     6     7     53.50     7.16  
  5     10    7     8     48.53     6.13  
  6     11    8     9     70.05     6.76  
  7     12    9     10    98.69     13.23 
  8     13    10    11    59.03     9.04  
  9     14    11    12    89.89     9.99  
  10    15    12    13    43.85     3.98  
  11    16    13    14    46.66     4.80  
  12    17    14    15    50.48     2.98  
  13    18    15    16    21.43     2.42  
  14    19    16    17    26.98     1.93  
  15    20    17    18    37.72     1.53  
  16    21    18    19    66.57     8.61  
  17    22    19    20    70.02     5.04  
  18    23    20    21    46.12     2.91  
  19    24    21    22    47.79     3.43  
  20    25    22    23    25.09     3.55  
  21    26    23    24    28.03     3.68  
  22    27    24    25    68.40     2.92  
  23    28    25    26    31.59     5.88  
  24    29    26    27    58.18     13.99 
  25    30    27    28    39.95     1.86  
  26    31    28    29    20.62     6.75  
  27    32    29    30    73.23     17.71 
  28    33    30    31    52.37     4.68  
  29    34    31    32    37.81     12.02 
  30    35    32    33    28.95     4.98  
  31    36    33    34    35.77     10.80 
  32    37    34    35    39.43     12.63 
  33    38    35    36    90.69     16.25 
  34    39    36    37    55.70     7.71  
  0     7     3     4     46.90     10.85 
  1     8     4     5     33.15     10.24 
  2     9     5     6     61.94     18.85 
  3     10    6     7     37.43     15.69 
  4     11    7     8     78.44     19.89 
  5     12    8     9     84.77     13.14 
  6     13    9     10    21.57     11.49 
  7     14    10    11    23.98     9.50  
  8     15    11    12    29.21     5.75  
  9     16    12    13    25.10     8.50  
  10    17    13    14    48.43     14.62 
  11    18    14    15    32.80     14.73 
  12    19    15    16    37.98     8.25  
  13    20    16    17    37.90     8.06  
  14    21    17    18    64.97     10.19 
  15    22    18    19    33.71     7.90  
  16    23    19    20    38.30     7.77  
  17    24    20    21    31.79     4.88  
  18    25    21    22    46.11     12.94 
  19    26    22    23    43.36     20.03 
  20    27    23    24    55.25     10.59 
  21    28    24    25    56.93     8.00  
  22    29    25    26    52.38     14.30 
  23    30    26    27    36.30     13.09 
  24    31    27    28    69.66     10.00 
  25    32    28    29    82.37     23.76 
  26    33    29    30    15.95     37.06 
  27    34    30    31    99.42     20.92 
  28    35    31    32    45.57     32.10 
  29    36    32    33    37.00     15.71 
  30    37    33    34    42.99     29.31 
  31    38    34    35    20.77     25.43 
  32    39    35    36    52.74     21.55 
  0     9     4     5     32.10     30.53 
  1     10    5     6     22.32     15.27 
  2     11    6     7     25.42     18.29 
  3     12    7     8     57.82     32.01 
  4     13    8     9     60.54     13.96 
  5     14    9     10    20.30     24.78 
  6     15    10    11    32.96     17.53 
  7     16    11    12    44.64     21.38 
  8     17    12    13    20.04     25.17 
  9     18    13    14    31.02     29.48 
  10    19    14    15    26.46     18.94 
  11    20    15    16    33.03     21.21 
  12    21    16    17    92.94     39.21 
  13    22    17    18    63.26     15.88 
  14    23    18    19    25.96     9.03  
  15    24    19    20    27.58     7.80  
  16    25    20    21    20.40     9.41  
  17    26    21    22    27.37     24.73 
  18    27    22    23    63.94     28.55 
  19    28    23    24    54.97     29.19 
  20    29    24    25    57.59     20.30 
  21    30    25    26    74.94     42.19 
  23    32    27    28    65.31     15.46 
  24    33    28    29    31.13     17.43 
  25    34    29    30    32.58     78.80 
  26    35    30    31    21.12     52.51 
  27    36    31    32    62.20     139.33
  28    37    32    33    74.85     41.48 
  29    38    33    34    32.16     34.65 
  30    39    34    35    30.18     46.26 
  0     11    5     6     15.12     21.99 
  1     12    6     7     47.85     44.44 
  2     13    7     8     67.46     46.18 
  3     14    8     9     78.74     23.32 
  4     15    9     10    20.25     28.29 
  5     16    10    11    25.41     31.10 
  6     17    11    12    64.03     47.62 
  7     18    12    13    24.48     40.72 
  8     19    13    14    10.78     29.86 
  9     20    14    15    26.98     41.91 
  10    21    15    16    21.12     25.48 
  11    22    16    17    43.96     31.30 
  12    23    17    18    44.71     12.36 
  13    24    18    19    35.22     15.44 
  14    25    19    20    47.44     29.69 
  15    26    20    21    26.35     22.12 
  16    27    21    22    54.53     31.97 
  17    28    22    23    46.25     59.75 
  18    29    23    24    25.42     30.44 
  19    30    24    25    57.74     33.53 
  20    31    25    26    35.76     24.84 
  21    32    26    27    27.20     74.97 
  22    33    27    28    46.08     18.12 
  23    34    28    29    50.71     46.90 
  24    35    29    30    18.76     149.21
  25    36    30    31    70.28     74.94 
  26    37    31    32    11.27     36.75 
  27    38    32    33    77.88     66.00 
  28    39    33    34    67.41     85.14 
  0     13    6     7     16.93     33.21 
  1     14    7     8     52.22     32.73 
  2     15    8     9     68.16     25.98 
  3     16    9     10    13.54     29.53 
  4     17    10    11    33.48     58.28 
  5     18    11    12    16.87     40.38 
  6     19    12    13    9.57      36.36 
  7     20    13    14    9.48      39.74 
  8     21    14    15    16.38     50.69 
  9     22    15    16    57.28     122.13
  10    23    16    17    24.56     23.61 
  11    24    17    18    78.99     31.04 
  12    25    18    19    76.78     45.73 
  13    26    19    20    30.04     23.62 
  14    27    20    21    33.46     25.60 
  15    28    21    22    18.00     28.68 
  16    29    22    23    6.39      24.92 
  17    30    23    24    24.46     43.19 
  18    31    24    25    21.69     25.40 
  19    32    25    26    43.25     36.96 
  21    34    27    28    83.10     60.76 
  22    35    28    29    85.00     108.17
  23    36    29    30    0.85      106.33
  24    37    30    31    34.82     65.83 
  25    38    31    32    14.41     150.69
  26    39    32    33    28.79     52.35 
  0     15    6     9     83.06     21.40 
  1     16    7     10    80.21     19.42 
  2     17    8     11    96.46     33.16 
  3     18    9     12    29.32     37.84 
  4     19    10    13    22.99     42.30 
  5     20    11    14    12.57     39.45 
  6     21    12    15    55.86     73.10 
  7     22    13    16    67.47     105.07
  8     23    14    17    51.43     43.53 
  9     24    15    18    30.80     8.85  
  10    25    16    19    31.70     7.10  
  11    26    17    20    27.42     5.95  
  12    27    18    21    52.28     13.65 
  13    28    19    22    33.91     14.32 
  14    29    20    23    20.76     19.27 
  15    30    21    24    25.94     24.36 
  16    31    22    25    21.59     21.50 
  17    32    23    26    84.29     48.48 
  18    33    24    27    52.81     34.33 
  19    34    25    28    78.04     40.20 
  20    35    26    29    52.12     45.66 
  21    36    27    30    79.22     42.83 
  22    37    28    31    49.78     46.46 
  23    38    29    32    26.10     54.88 
  24    39    30    33    44.61     38.86 
  0     17    7     10    26.78     8.93  
  1     18    8     11    39.34     24.63 
  2     19    9     12    23.16     37.35 
  3     20    10    13    9.06      37.05 
  4     21    11    14    19.17     102.53
  5     22    12    15    45.95     102.54
  6     23    13    16    27.29     59.06 
  7     24    14    17    69.19     68.82 
  8     25    15    18    68.51     39.29 
  9     26    16    19    44.91     12.54 
  10    27    17    20    27.24     6.46  
  11    28    18    21    22.83     7.87  
  12    29    19    22    45.80     24.56 
  13    30    20    23    29.56     27.85 
