40 # number of electrodes
# x z
   0    0 
   1    0 
   2    0 
   3    0 
   4    0 
   5    0 
   6    0 
   7    0 
   8    0 
   9    0 
  10    0 
  11    0 
  12    0 
  13    0 
  14    0 
  15    0 
  16    0 
  17    0 
  18    0 
  19    0 
  20    0 
  21    0 
  22    0 
  23    0 
  24    0 
  25    0 
  26    0 
  27    0 
  28    0 
  29    0 
  30    0 
  31    0 
  32    0 
  33    0 
  34    0 
  35    0 
  36    0 
  37    0 
  38    0 
  39    0 
361  # number of data
#a  b  m  n  u  i 
  0     3     1     2     597.10    0.49   
  1     4     2     3     621.77    0.46   
  2     5     3     4     451.44    0.27   
  3     6     4     5     225.61    0.17   
  4     7     5     6     493.85    0.26   
  5     8     6     7     175.36    0.16   
  6     9     7     8     156.59    0.20   
  7     10    8     9     231.77    0.25   
  8     11    9     10    126.07    0.20   
  9     12    10    11    561.04    0.70   
  10    13    11    12    205.78    0.28   
  11    14    12    13    597.65    0.44   
  12    15    13    14    323.26    0.64   
  13    16    14    15    284.33    0.31   
  14    17    15    16    71.71     0.19   
  15    18    16    17    513.76    0.70   
  16    19    17    18    246.88    0.44   
  17    20    18    19    118.80    0.23   
  18    21    19    20    252.64    0.49   
  19    22    20    21    238.00    0.57   
  20    23    21    22    476.83    1.37   
  21    24    22    23    211.41    0.75   
  22    25    23    24    192.78    1.50   
  23    26    24    25    349.63    2.48   
  24    27    25    26    126.22    0.66   
  25    28    26    27    312.47    1.49   
  26    29    27    28    456.93    2.04   
  27    30    28    29    167.61    0.56   
  28    31    29    30    261.95    1.16   
  29    32    30    31    361.43    1.90   
  30    33    31    32    135.20    0.69   
  31    34    32    33    451.89    2.76   
  32    35    33    34    92.65     1.70   
  33    36    34    35    80.39     0.85   
  34    37    35    36    85.11     1.89   
  35    38    36    37    373.48    1.71   
  36    39    37    38    160.51    1.29   
  0     5     2     3     104.53    0.27   
  1     6     3     4     42.18     0.17   
  2     7     4     5     106.04    0.28   
  3     8     5     6     80.71     0.20   
  4     9     6     7     121.72    0.81   
  5     10    7     8     40.99     0.27   
  6     11    8     9     34.46     0.18   
  7     12    9     10    49.82     0.25   
  8     13    10    11    20.17     0.17   
  9     14    11    12    79.83     0.59   
  10    15    12    13    147.61    0.62   
  11    16    13    14    94.28     0.59   
  12    17    14    15    39.34     0.20   
  13    18    15    16    28.53     0.30   
  14    19    16    17    70.80     0.36   
  15    20    17    18    209.78    1.17   
  16    21    18    19    32.84     0.53   
  17    22    19    20    24.79     0.24   
  18    23    20    21    83.34     0.78   
  19    24    21    22    46.29     0.60   
  20    25    22    23    87.50     1.42   
  21    26    23    24    31.75     0.89   
  22    27    24    25    33.37     0.64   
  23    28    25    26    82.83     1.43   
  24    29    26    27    66.88     1.42   
  25    30    27    28    58.59     1.15   
  26    31    28    29    126.01    1.74   
  27    32    29    30    40.89     0.76   
  28    33    30    31    32.97     0.81   
  29    34    31    32    203.61    3.62   
  30    35    32    33    60.49     0.95   
  31    36    33    34    25.01     1.27   
  32    37    34    35    27.46     1.29   
  33    38    35    36    21.12     1.01   
  34    39    36    37    185.85    2.90   
  0     7     3     4     24.53     0.25   
  1     8     4     5     23.24     0.19   
  2     9     5     6     87.79     0.72   
  3     10    6     7     30.20     0.48   
  4     11    7     8     33.86     0.57   
  5     12    8     9     20.45     0.27   
  6     13    9     10    20.32     0.38   
  7     14    10    11    42.05     0.66   
  8     15    11    12    30.13     0.61   
  9     16    12    13    64.84     0.85   
  10    17    13    14    28.31     0.53   
  11    18    14    15    41.05     0.55   
  12    19    15    16    40.10     1.11   
  13    20    16    17    93.72     1.03   
  14    21    17    18    76.34     1.14   
  15    22    18    19    81.50     3.40   
  16    23    19    20    70.59     2.31   
  17    24    20    21    23.09     0.64   
  18    25    21    22    71.06     2.21   
  19    26    22    23    40.51     1.89   
  20    27    23    24    25.41     1.72   
  21    28    24    25    41.34     1.96   
  22    29    25    26    78.20     3.62   
  23    30    26    27    76.10     3.12   
