40 # number of electrodes
# x y z
0.000 0.000 0.250 
-1.000 0.000 0.250 
-2.000 0.000 0.250 
-3.000 0.000 0.250 
-4.000 0.000 0.250 
-5.000 0.000 0.250 
-6.000 0.000 0.250 
-7.000 0.000 0.250 
-8.000 0.000 0.250 
-9.000 0.000 0.250 
-10.000 0.000 0.250 
-11.000 0.000 0.250 
-12.000 0.000 0.250 
-13.000 0.000 0.250 
-14.000 0.000 0.250 
-15.000 0.000 0.250 
-16.000 0.000 0.250 
-17.000 0.000 0.250 
-18.000 0.000 0.250 
-19.000 0.000 0.250 
-20.000 0.000 0.250 
-21.000 0.000 0.250 
-22.000 0.000 0.250 
-23.000 0.000 0.250 
-24.000 0.000 0.250 
-25.000 0.000 0.250 
-26.000 0.000 0.250 
-27.000 0.000 0.250 
-28.000 0.000 0.250 
-29.000 0.000 0.250 
-30.000 0.000 0.250 
-31.000 0.000 0.250 
-32.000 0.000 0.250 
-33.000 0.000 0.250 
-34.000 0.000 0.250 
-35.000 0.000 0.250 
-36.000 0.000 0.250 
-37.000 0.000 0.250 
-38.000 0.000 0.250 
-39.000 0.000 0.250 
359  # number of data
#a  b  m  n  i  u  err
  1     4     2     3      1.00      62.18     0.00
  2     5     3     4      1.69      94.57     4.40
  3     6     4     5      1.68      84.30     4.60
  4     7     5     6      1.46      55.76     6.50
  5     8     6     7      2.22      178.80    2.00
  6     9     7     8      1.17      40.84     5.40
  7     10    8     9      1.81      122.38    5.40
  8     11    9     10     0.64      22.62     2.30
  9     12    10    11     0.60      31.38     2.80
  10    13    11    12     1.41      130.82    1.80
  11    14    12    13     0.54      44.89     0.20
  12    15    13    14     0.54      58.23     6.20
  13    16    14    15     0.61      52.89     1.80
  14    17    15    16     0.69      64.59     9.40
  15    18    16    17     0.81      54.86     2.30
  16    19    17    18     0.56      49.89     9.90
  17    20    18    19     0.62      42.26     9.30
  18    21    19    20     0.86      52.74     3.80
  19    22    20    21     1.19      60.19     2.00
  20    23    21    22     1.24      94.95     0.90
  21    24    22    23     0.98      42.84     6.60
  22    25    23    24     3.28      223.12    2.70
  23    26    24    25     5.12      176.75    0.70
  24    27    25    26     1.12      69.20     7.20
  25    28    26    27     2.79      41.28     2.50
  26    29    27    28     3.80      150.92    3.10
  27    30    28    29     0.88      26.70     3.40
  28    31    29    30     1.44      86.90     1.30
  29    32    30    31     2.71      62.61     0.20
  30    33    31    32     1.11      44.86     0.90
  31    34    32    33     3.20      50.99     0.00
  32    35    33    34     2.55      43.59     6.50
  33    36    34    35     2.16      35.96     0.10
  34    37    35    36     2.08      35.87     0.30
  35    38    36    37     1.45      40.00     2.90
  36    39    37    38     3.38      76.39     7.80
  37    40    38    39     5.70      196.88    0.60
  1     6     3     4      3.08      36.35     0.00
  2     7     4     5      3.82      42.59     0.20
  3     8     5     6      4.96      53.45     0.40
  4     9     6     7      3.13      25.62     0.00
  5     10    7     8      7.16      53.50     0.00
  6     11    8     9      6.13      48.53     0.10
  7     12    9     10     6.76      70.05     0.00
  8     13    10    11     13.23     98.69     0.40
  9     14    11    12     9.04      59.03     1.30
  10    15    12    13     9.99      89.89     1.70
  11    16    13    14     3.98      43.85     0.90
  12    17    14    15     4.80      46.66     1.20
  13    18    15    16     2.98      50.48     0.00
  14    19    16    17     2.42      21.43     0.40
  15    20    17    18     1.93      26.98     1.50
  16    21    18    19     1.53      37.72     0.70
  17    22    19    20     8.61      66.57     0.00
  18    23    20    21     5.04      70.02     0.10
  19    24    21    22     2.91      46.12     0.50
  20    25    22    23     3.43      47.79     0.40
  21    26    23    24     3.55      25.09     1.80
  22    27    24    25     3.68      28.03     0.30
  23    28    25    26     2.92      68.40     0.00
  24    29    26    27     5.88      31.59     0.00
  25    30    27    28     13.99     58.18     0.00
  26    31    28    29     1.86      39.95     0.00
  27    32    29    30     6.75      20.62     0.30
  28    33    30    31     17.71     73.23     0.10
  29    34    31    32     4.68      52.37     0.40
  30    35    32    33     12.02     37.81     0.10
  31    36    33    34     4.98      28.95     0.10
  32    37    34    35     10.80     35.77     0.50
  33    38    35    36     12.63     39.43     0.30
  34    39    36    37     16.25     90.69     0.00
  35    40    37    38     7.71      55.70     0.30
  1     8     4     5      10.85     46.90     0.10
  2     9     5     6      10.24     33.15     0.00
  3     10    6     7      18.85     61.94     0.10
  4     11    7     8      15.69     37.43     0.20
  5     12    8     9      19.89     78.44     0.00
  6     13    9     10     13.14     84.77     0.00
  7     14    10    11     11.49     21.57     0.50
  8     15    11    12     9.50      23.98     0.70
  9     16    12    13     5.75      29.21     0.80
  10    17    13    14     8.50      25.10     0.00
  11    18    14    15     14.62     48.43     0.10
