40 # number of electrodes
# x y z
0.000 0.000 1.250 
-1.000 0.000 1.250 
-2.000 0.000 1.250 
-3.000 0.000 1.250 
-4.000 0.000 1.250 
-5.000 0.000 1.250 
-6.000 0.000 1.250 
-7.000 0.000 1.250 
-8.000 0.000 1.250 
-9.000 0.000 1.250 
-10.000 0.000 1.250 
-11.000 0.000 1.250 
-12.000 0.000 1.250 
-13.000 0.000 1.250 
-14.000 0.000 1.250 
-15.000 0.000 1.250 
-16.000 0.000 1.250 
-17.000 0.000 1.250 
-18.000 0.000 1.250 
-19.000 0.000 1.250 
-20.000 0.000 1.250 
-21.000 0.000 1.250 
-22.000 0.000 1.250 
-23.000 0.000 1.250 
-24.000 0.000 1.250 
-25.000 0.000 1.250 
-26.000 0.000 1.250 
-27.000 0.000 1.250 
-28.000 0.000 1.250 
-29.000 0.000 1.250 
-30.000 0.000 1.250 
-31.000 0.000 1.250 
-32.000 0.000 1.250 
-33.000 0.000 1.250 
-34.000 0.000 1.250 
-35.000 0.000 1.250 
-36.000 0.000 1.250 
-37.000 0.000 1.250 
-38.000 0.000 1.250 
-39.000 0.000 1.250 
361  # number of data
#a  b  m  n  i  u  err
  1     4     2     3      0.49      597.10    0.20
  2     5     3     4      0.46      621.77    0.60
  3     6     4     5      0.27      451.44    0.70
  4     7     5     6      0.17      225.61    1.80
  5     8     6     7      0.26      493.85    0.70
  6     9     7     8      0.16      175.36    2.90
  7     10    8     9      0.20      156.59    2.90
  8     11    9     10     0.25      231.77    1.30
  9     12    10    11     0.20      126.07    4.60
  10    13    11    12     0.70      561.04    0.30
  11    14    12    13     0.28      205.78    6.20
  12    15    13    14     0.44      597.65    0.50
  13    16    14    15     0.64      323.26    1.80
  14    17    15    16     0.31      284.33    0.50
  15    18    16    17     0.19      71.71     3.20
  16    19    17    18     0.70      513.76    1.00
  17    20    18    19     0.44      246.88    2.70
  18    21    19    20     0.23      118.80    3.50
  19    22    20    21     0.49      252.64    0.10
  20    23    21    22     0.57      238.00    1.80
  21    24    22    23     1.37      476.83    0.80
  22    25    23    24     0.75      211.41    0.90
  23    26    24    25     1.50      192.78    2.40
  24    27    25    26     2.48      349.63    0.60
  25    28    26    27     0.66      126.22    2.20
  26    29    27    28     1.49      312.47    0.70
  27    30    28    29     2.04      456.93    0.70
  28    31    29    30     0.56      167.61    2.40
  29    32    30    31     1.16      261.95    1.40
  30    33    31    32     1.90      361.43    0.40
  31    34    32    33     0.69      135.20    1.20
  32    35    33    34     2.76      451.89    1.20
  33    36    34    35     1.70      92.65     2.20
  34    37    35    36     0.85      80.39     9.70
  35    38    36    37     1.89      85.11     5.90
  36    39    37    38     1.71      373.48    0.20
  37    40    38    39     1.29      160.51    2.30
  1     6     3     4      0.27      104.53    0.60
  2     7     4     5      0.17      42.18     1.50
  3     8     5     6      0.28      106.04    0.10
  4     9     6     7      0.20      80.71     0.30
  5     10    7     8      0.81      121.72    0.00
  6     11    8     9      0.27      40.99     0.70
  7     12    9     10     0.18      34.46     0.60
  8     13    10    11     0.25      49.82     0.70
  9     14    11    12     0.17      20.17     2.20
  10    15    12    13     0.59      79.83     0.10
  11    16    13    14     0.62      147.61    0.10
  12    17    14    15     0.59      94.28     0.60
  13    18    15    16     0.20      39.34     2.70
  14    19    16    17     0.30      28.53     0.00
  15    20    17    18     0.36      70.80     0.20
  16    21    18    19     1.17      209.78    0.10
  17    22    19    20     0.53      32.84     1.00
  18    23    20    21     0.24      24.79     0.80
  19    24    21    22     0.78      83.34     0.20
  20    25    22    23     0.60      46.29     0.10
  21    26    23    24     1.42      87.50     0.20
  22    27    24    25     0.89      31.75     0.10
  23    28    25    26     0.64      33.37     0.50
  24    29    26    27     1.43      82.83     0.00
  25    30    27    28     1.42      66.88     0.00
  26    31    28    29     1.15      58.59     0.30
  27    32    29    30     1.74      126.01    0.00
  28    33    30    31     0.76      40.89     0.30
  29    34    31    32     0.81      32.97     0.10
  30    35    32    33     3.62      203.61    0.00
