43 # shot/geophone points
#x	y
54.0000 18.0000
54.0000 16.0000
54.0000 14.0000
54.0000 12.0000
54.0000 10.0000
54.0000 8.0000
54.0000 6.0000
54.0000 4.0000
54.0000 2.0000
54.0000 0.0000
52.0000 0.0000
50.0000 0.0000
48.0000 0.0000
46.0000 0.0000
44.0000 0.0000
42.0000 0.0000
40.0000 0.0000
38.0000 0.0000
36.0000 0.0000
34.0000 0.0000
32.0000 0.0000
30.0000 0.0000
28.0000 0.0000
26.0000 0.0000
24.0000 0.0000
22.0000 0.0000
20.0000 0.0000
18.0000 0.0000
16.0000 0.0000
14.0000 0.0000
12.0000 1.0000
11.0833 2.7500
10.1667 4.5000
9.2500 6.2500
8.3333 8.0000
7.4167 9.7500
6.5000 11.5000
5.5833 13.2500
4.6667 15.0000
3.7500 16.7500
2.8333 18.5000
1.9167 20.2500
1.0000 22.0000
701 # measurements
#s	g	t
1 11 0.005650
1 12 0.005650
1 13 0.006190
1 14 0.006390
1 15 0.006190
1 16 0.005710
1 17 0.005990
1 18 0.006120
1 19 0.006190
1 20 0.006460
1 21 0.006120
1 22 0.006190
1 23 0.006260
1 24 0.006520
1 25 0.007620
1 26 0.007690
1 27 0.007690
1 28 0.008910
1 29 0.009050
1 30 0.009120
1 31 0.009510
1 32 0.009850
1 33 0.009780
1 34 0.009050
1 35 0.008710
1 36 0.008780
1 37 0.008810
1 38 0.008780
1 39 0.009050
1 40 0.009180
1 41 0.008910
1 42 0.009320
1 43 0.009520
2 11 0.004610
2 12 0.004630
2 13 0.005170
2 14 0.005370
2 15 0.005650
2 16 0.005920
2 17 0.006190
2 18 0.006540
2 19 0.006260
2 20 0.005170
2 21 0.005310
2 22 0.005510
2 23 0.005580
2 24 0.005580
2 25 0.005850
2 26 0.006190
2 27 0.006800
2 28 0.006870
2 29 0.006940
2 30 0.007010
2 31 0.007280
2 32 0.007410
2 33 0.007350
2 34 0.007890
2 35 0.007890
3 11 0.003870
3 12 0.004270
3 13 0.004480
3 14 0.004610
3 15 0.004680
3 16 0.005230
3 17 0.005430
3 18 0.005500
3 19 0.005430
3 20 0.005360
3 21 0.005360
3 22 0.005700
3 23 0.005910
3 24 0.006380
3 25 0.006460
3 26 0.006520
3 27 0.006650
3 28 0.006720
3 29 0.006930
3 30 0.007670
3 31 0.007740
3 32 0.007470
3 33 0.007740
3 34 0.008080
3 35 0.007610
3 36 0.007740
3 37 0.007610
3 38 0.007670
3 39 0.008700
3 40 0.009170
3 41 0.009240
3 42 0.009240
3 43 0.009920
4 11 0.004000
4 12 0.004410
4 13 0.004610
4 14 0.005090
4 15 0.004750
4 16 0.004890
4 17 0.005360
4 18 0.005910
4 19 0.005770
4 20 0.005700
4 21 0.006110
4 22 0.006310
